Date,COFORGE.NS,INFY.NS,LTIM.NS,PERSISTENT.NS,TCS.NS,^CNXIT,^NSEI
2025-01-13,1737.3277587890625,1934.974609375,5976.7236328125,5983.57568359375,4243.18359375,43999.1015625,23085.94921875
2025-01-14,1714.7469482421875,1913.132080078125,5700.37158203125,5860.68310546875,4185.78125,43061.19921875,23176.05078125
2025-01-15,1712.94091796875,1922.598876953125,5785.25439453125,6091.06982421875,4202.14697265625,43401.25,23213.19921875
2025-01-16,1742.4765625,1901.69287109375,5925.23876953125,6051.55078125,4159.330078125,43188.8515625,23311.80078125
2025-01-17,1724.5556640625,1790.2607421875,5837.53173828125,5941.51513671875,4087.964599609375,42032.19921875,23203.19921875
2025-01-20,1728.65673828125,1788.1407470703125,5773.1142578125,6070.78662109375,4041.87451171875,42192.80078125,23344.75
2025-01-21,1648.630859375,1775.7154541015625,5706.8134765625,5877.228515625,4000.294189453125,41697.94921875,23024.650390625
2025-01-22,1642.065185546875,1830.69189453125,5797.49365234375,5664.38330078125,4119.98046875,42590.69921875,23155.349609375
2025-01-23,1835.2945556640625,1839.5670166015625,5948.28076171875,6266.93701171875,4108.9287109375,43351.75,23205.349609375
2025-01-24,1842.907958984375,1849.4283447265625,5944.41552734375,6339.64599609375,4115.767578125,43524.1015625,23092.19921875
2025-01-27,1756.5159912109375,1796.719970703125,5634.76513671875,6041.23486328125,4029.335693359375,42060.69921875,22829.150390625
2025-01-28,1696.067626953125,1804.3624267578125,5614.646484375,5890.783203125,4004.704833984375,41820.6484375,22957.25
2025-01-29,1745.510009765625,1855.1478271484375,5830.0498046875,6255.22607421875,4063.680419921875,42914.5,23163.099609375
2025-01-30,1665.469970703125,1834.143310546875,5787.93017578125,6036.7001953125,4063.92822265625,42426.6484375,23249.5
2025-01-31,1652.77001953125,1853.718017578125,5861.16845703125,6032.60009765625,4076.16943359375,42662.75,23508.400390625
2025-02-03,1668.8199462890625,1837.447021484375,5738.7744140625,6076.75,4032.804931640625,42314.25,23361.05078125
2025-02-04,1691.81005859375,1872.4544677734375,5849.375,6111.89990234375,4070.866455078125,42860.19921875,23739.25
2025-02-05,1700.4300537109375,1870.7286376953125,5970.72802734375,6189.4501953125,4055.057373046875,42888.30078125,23696.30078125
2025-02-06,1704.27001953125,1889.070556640625,5891.59326171875,6228.60009765625,4046.78076171875,43020.94921875,23603.349609375
2025-02-07,1707.1700439453125,1877.237060546875,5903.23828125,6254.10009765625,3993.900634765625,42921.6484375,23559.94921875
2025-02-10,1682.8900146484375,1854.2110595703125,5745.95947265625,5993.89990234375,4001.38427734375,42596.55078125,23381.599609375
2025-02-11,1619.3499755859375,1849.6256103515625,5626.8369140625,5828.35009765625,3928.631103515625,41968.30078125,23071.80078125
2025-02-12,1600.8800048828125,1837.299072265625,5654.3876953125,5705.2001953125,3915.348876953125,41733.0,23045.25
2025-02-13,1575.0899658203125,1817.6751708984375,5551.27001953125,5663.2998046875,3875.701416015625,41315.55078125,23031.400390625
2025-02-14,1558.6700439453125,1830.6427001953125,5462.224609375,5562.7001953125,3900.183837890625,41311.1484375,22929.25
2025-02-17,1536.7900390625,1816.73828125,5423.57421875,5531.2998046875,3870.10107421875,41073.19921875,22959.5
