Date,TCS.NS,INFY.NS,LTIM.NS,PERSISTENT.NS,COFORGE.NS
2025-01-14,0.007926403231399244,0.010194400056825885,-0.025794294602476033,0.0007947112060023055,0.008464228954443894
2025-01-15,-0.003963687526921042,-0.002929780021497923,0.006915070948388955,0.030691666562333887,-0.008919690363250712
2025-01-16,-0.0053357099799311025,-0.006027531980525509,0.028814496603762247,-0.0016033223470407502,0.022001530971169844
2025-01-17,0.009839594522593621,-0.033236775358126115,0.012233498718801375,0.00879603133288227,0.016808441829869562
2025-01-20,-0.015152257127577139,-0.004998520280334266,-0.014910028568576176,0.017710377654597965,-0.0014384124608474384
2025-01-21,0.0014569940645079871,0.004824683893456266,0.00024680080679332327,-0.02060521767530809,-0.035601833099663326
2025-01-22,0.008296563925877999,0.0093066123410981,-0.005419065547167808,-0.05807123570314174,-0.025174405192991807
2025-01-23,-0.020397252757394332,-0.012874923236257173,0.007965364681663298,0.08337852288228838,0.0935391100479682
2025-01-24,-0.0023047638491945385,0.0013785895552211724,-0.004617790267092337,0.007567437838606603,0.00017197508435446828
2025-01-27,0.012977222651575318,0.005287224734962136,-0.01929569563144308,-0.01401344258275717,-0.01381139075673471
2025-01-28,-0.00040804845617956314,0.00996813423781617,0.0021467549437847173,-0.01949588298909766,-0.029296290612142
2025-01-29,-0.011200372914961955,0.0019375160123884273,0.011827351251009335,0.034208760890587026,0.002914806357090221
2025-01-30,0.011494076484372768,4.622615239321948e-05,0.004182300390929973,-0.024126650383032217,-0.035506335402912724
2025-01-31,-0.0025418737451167765,0.005066341277238917,0.007024725566733032,-0.0062289343988389655,-0.013204176734990802
2025-02-03,-0.0024932710144069028,-0.0006139762443384596,-0.012901042881243682,0.01549416755343007,0.017866343057075615
2025-02-04,-0.0034260110539837112,0.00605327058522114,0.006269417701165602,-0.007052068499989996,0.0008625092924973553
2025-02-05,-0.0045464703565269065,-0.0015775605551486777,0.01987860815081968,0.011953145302018698,0.004426753954784804
2025-02-06,-0.005131253302848744,0.006668829831780807,-0.0164305121834686,0.003217234300044339,-0.0008324223294393688
2025-02-07,-0.010842471379413854,-0.0039730279843946175,0.004285461600723191,0.006396524117483788,0.004011040451630747
2025-02-10,0.009475056345103094,-0.00473870461088457,-0.019401112364191158,-0.03489195336137288,-0.0067214504040906745
2025-02-11,-0.0034906326967023855,0.012382637452656846,-0.0060907577081360156,-0.013149618516912582,-0.023629050812745557
2025-02-12,0.002235800144076069,-0.001064240856015297,0.010506777006337287,-0.015733477019078998,-0.005848930710419441
2025-02-13,-0.00012455993466138106,-0.0006850703656746671,-0.008351871671198385,0.0026818742099447715,-0.006187867883880135
2025-02-14,0.006403592771651628,0.007215361406681632,-0.016064029701188146,-0.01781652984667149,-0.010372910252598537
2025-02-17,-0.0019664860470701376,-0.0018477875587171568,-0.0013245164988396176,0.00011577678600829637,-0.008360491043403712
2025-02-18,-0.01752691380058956,-0.004253887633765417,0.025710110267398164,0.0374825952853647,-0.008398704442071789
2025-02-19,-0.010161676039992974,-0.009359100246886421,-0.02253408920932188,0.030646014453943236,0.023766441466572946
2025-02-20,0.00018278068926597807,0.009319047468433069,-0.012352294652211781,0.004488838830455255,0.003827976655072518
2025-02-21,0.009640612870576482,0.002319022416781142,-0.010199390804853346,-0.027814322210691935,-0.030978825151268267
2025-02-24,-0.0021401424156234465,-0.0009913082134588753,-0.021087065365616182,0.015030532449250596,0.04493543167069376
2025-02-25,-0.0045825553091221865,0.010063840275455347,-0.008807223413982703,-0.01560359549848695,0.008726265519620862
2025-02-27,3.52146800897922e-05,0.0028047262418545884,-0.012462476965386894,-0.001617206506230583,-0.014413938258136546
2025-02-28,0.006260741989395649,-0.0016785071873032867,-0.0018579853822754538,0.01127866759621464,0.02562561316119386
2025-03-03,-0.005094917557627423,0.0044032287510366,0.02751976278978247,-0.01004666660365175,-0.008597406135835128
2025-03-04,0.02011629533611373,-0.0029390136556261114,-0.022336601785063224,-0.017707952962854382,-0.010844194923528002
2025-03-05,-0.01687406824822326,-0.0074638093203719304,-0.002398010480175211,0.02405854259316657,0.0590289642339783
2025-03-06,0.013346397683214039,0.0006227817656306786,0.00842153894008479,-0.018345192280008697,-0.026406124483266433
2025-03-07,0.011214487423643563,-0.008997067628650742,-0.012642350048480471,0.003931553740534643,0.019262030744258928
2025-03-10,-0.0013196348101422797,0.013787724595114691,-0.006193667446241501,-0.016740735183545605,-0.017996503287367616
2025-03-11,0.0025051799875600075,-0.017189112814706694,0.0029720465891429583,0.020530487576313018,0.01937467720379396
2025-03-12,0.010046052009370518,-0.013950128488280214,-0.007322226788596328,0.01905883418715796,-0.001280109705087188
2025-03-13,0.006577441163863421,-0.0017434781907982961,0.0009840804490813823,-0.006336491876528451,-0.009513368867905398
2025-03-17,-0.004216383036932471,0.006028787574198527,-0.02470886398423319,0.007666570633408496,0.00952689431359706
2025-03-18,-0.013254047830794754,-0.013254047830794754,-0.013254047830794754,-0.013254047830794754,-0.013254047830794754
2025-03-19,0.010697263194789182,0.008665151642250528,0.012163896424962147,0.032558227939158885,0.03573004852419803
